"","workerid","noun","nounclass","predicateposition","predicate","correctresponse","correctclass","response"
"122","vi. 65","ventilador","furniture","predicate1","suave",0.3,"texture",0.7
"123","vi. 65","manzana","food","predicate1","cuadrado",0.48,"shape",0.52
"124","vi. 65","pl&aacute;tano","food","predicate1","grande",0.48,"size",0.52
"125","vi. 65","televisi&oacute;n ","furniture","predicate1","espa&ntilde;ol",0.74,"nationality",0.26
"126","vi. 65","ventilador","furniture","predicate1","azul",0.67,"color",0.33
"127","vi. 65","zanahoria","food","predicate1","espa&ntilde;ol",0.75,"nationality",0.25
"128","vi. 65","ventilador","furniture","predicate1","suave",0.32,"texture",0.68
"129","vi. 65","pl&aacute;tano","food","predicate1","cuadrado",0.5,"shape",0.5
"130","vi. 65","manzana","food","predicate1","podrido",0.72,"age",0.28
"131","0","ventilador","furniture","predicate1","podrido",0.07,"age",0.93
"132","0","ventilador","furniture","predicate1","suave",0.88,"texture",0.12
"133","0","televisi&oacute;n ","furniture","predicate1","fresco",1,"age",0
"134","0","ventilador","furniture","predicate1","malo",0.23,"quality",0.77
"135","0","tomate","food","predicate1","cuadrado",0.17,"shape",0.83
"136","0","televisi&oacute;n ","furniture","predicate1","fresco",0.36,"age",0.64
"137","0","sof&aacute; ","furniture","predicate1","enorme",0.84,"size",0.16
"138","0","televisi&oacute;n ","furniture","predicate1","nuevo",0.8,"age",0.2
"139","0","queso","food","predicate1","mexicano",0.77,"nationality",0.23
"140","0","ventilador","furniture","predicate1","peque&ntilde;o",0.93,"size",0.07
"141","0","manzana","food","predicate1","corto",0.05,"size",0.95
"142","0","queso","food","predicate1","suave",0.9,"texture",0.1
"143","0","silla","furniture","predicate1","duro",0.76,"texture",0.24
"144","0","sof&aacute; ","furniture","predicate1","cuadrado",0.59,"shape",0.41
"145","0","silla","furniture","predicate1","cuadrado",0.15,"shape",0.85
"146","0","silla","furniture","predicate1","rojo",0.61,"color",0.39
"147","0","queso","food","predicate1","fresco",0.08,"age",0.92
"148","0","queso","food","predicate1","espa&ntilde;ol",0.2,"nationality",0.8
"149","0","manzana","food","predicate1","amarillo",0.28,"color",0.72
"150","0","manzana","food","predicate1","fresco",0.77,"age",0.23
"151","0","manzana","food","predicate1","redondo",0.18,"shape",0.82
"152","0","manzana","food","predicate1","fresco",0.84,"age",0.16
"153","0","pl&aacute;tano","food","predicate1","min&uacute;sculo",0.74,"size",0.26
"154","0","sof&aacute; ","furniture","predicate1","mexicano",0.79,"nationality",0.21
"155","0","escritorio","furniture","predicate1","viejo",0.67,"age",0.33
"156","0","queso","food","predicate1","morado",0.43,"color",0.57
"157","3","queso","food","predicate1","bueno",1,"quality",0
"158","3","pl&aacute;tano","food","predicate1","redondo",0.05,"shape",0.95
"159","3","sof&aacute; ","furniture","predicate1","enorme",0.94,"size",0.0600000000000001
"160","3","televisi&oacute;n ","furniture","predicate1","morado",0.04,"color",0.96
"161","3","queso","food","predicate1","suave",0.02,"texture",0.98
"162","3","pl&aacute;tano","food","predicate1","amarillo",0.96,"color",0.04
"163","3","ventilador","furniture","predicate1","nuevo",0.97,"age",0.03
"164","3","pl&aacute;tano","food","predicate1","redondo",0.04,"shape",0.96
"165","3","escritorio","furniture","predicate1","duro",0.97,"texture",0.03
"166","3","sof&aacute; ","furniture","predicate1","cuadrado",0.98,"shape",0.02
"167","3","silla","furniture","predicate1","mexicano",0.04,"nationality",0.96
"168","3","televisi&oacute;n ","furniture","predicate1","cuadrado",0.96,"shape",0.04
"169","3","ventilador","furniture","predicate1","nuevo",0.03,"age",0.97
"170","3","televisi&oacute;n ","furniture","predicate1","podrido",0.01,"age",0.99
"171","3","silla","furniture","predicate1","nuevo",0.96,"age",0.04
"172","3","televisi&oacute;n ","furniture","predicate1","americano",0,"nationality",1
"173","3","televisi&oacute;n ","furniture","predicate1","espa&ntilde;ol",0.03,"nationality",0.97
"174","3","silla","furniture","predicate1","americano",0.02,"nationality",0.98
"175","3","sof&aacute; ","furniture","predicate1","cuadrado",0.05,"shape",0.95
"176","3","manzana","food","predicate1","americano",0.04,"nationality",0.96
"177","3","ventilador","furniture","predicate1","redondo",0.02,"shape",0.98
"178","3","televisi&oacute;n ","furniture","predicate1","morado",0.04,"color",0.96
"179","3","manzana","food","predicate1","min&uacute;sculo",0.95,"size",0.05
"180","3","manzana","food","predicate1","mexicano",0.01,"nationality",0.99
"181","3","pl&aacute;tano","food","predicate1","rojo",0.99,"color",0.01
"182","3","manzana","food","predicate1","marr&oacute;n",0.04,"color",0.96
"183","6","sof&aacute; ","furniture","predicate1","cuadrado",0,"shape",1
"184","6","manzana","food","predicate1","enorme",1,"size",0
"185","6","tomate","food","predicate1","viejo",0.88,"age",0.12
"186","6","televisi&oacute;n ","furniture","predicate1","espa&ntilde;ol",1,"nationality",0
"187","6","zanahoria","food","predicate1","bueno",1,"quality",0
"188","6","silla","furniture","predicate1","americano",0.01,"nationality",0.99
"189","6","sof&aacute; ","furniture","predicate1","min&uacute;sculo",0.21,"size",0.79
"190","6","sof&aacute; ","furniture","predicate1","redondo",0.88,"shape",0.12
"191","6","zanahoria","food","predicate1","min&uacute;sculo",0.96,"size",0.04
"192","6","silla","furniture","predicate1","americano",0,"nationality",1
"193","6","manzana","food","predicate1","bueno",0,"quality",1
"194","6","tomate","food","predicate1","peque&ntilde;o",1,"size",0
"195","6","sof&aacute; ","furniture","predicate1","cuadrado",0.13,"shape",0.87
"196","6","televisi&oacute;n ","furniture","predicate1","enorme",0.77,"size",0.23
"197","6","tomate","food","predicate1","enorme",1,"size",0
"198","6","queso","food","predicate1","redondo",0.99,"shape",0.01
"199","6","ventilador","furniture","predicate1","nuevo",1,"age",0
"200","6","pl&aacute;tano","food","predicate1","rojo",1,"color",0
"201","6","silla","furniture","predicate1","largo",0.69,"size",0.31
"202","6","sof&aacute; ","furniture","predicate1","liso",0.99,"texture",0.01
"203","6","tomate","food","predicate1","bueno",0,"quality",1
"204","6","ventilador","furniture","predicate1","duro",0.19,"texture",0.81
"205","6","televisi&oacute;n ","furniture","predicate1","malo",0.74,"quality",0.26
"206","6","ventilador","furniture","predicate1","mexicano",0.87,"nationality",0.13
"207","6","ventilador","furniture","predicate1","mexicano",0.68,"nationality",0.32
"208","6","ventilador","furniture","predicate1","corto",0.98,"size",0.02
"209","7","zanahoria","food","predicate1","suave",0.74,"texture",0.26
"210","7","manzana","food","predicate1","bueno",0.96,"quality",0.04
"211","7","silla","furniture","predicate1","malo",0.95,"quality",0.05
"212","7","ventilador","furniture","predicate1","malo",0.62,"quality",0.38
"213","7","silla","furniture","predicate1","americano",0.14,"nationality",0.86
"214","7","televisi&oacute;n ","furniture","predicate1","mexicano",0.79,"nationality",0.21
"215","7","queso","food","predicate1","fresco",0.01,"age",0.99
"216","7","ventilador","furniture","predicate1","americano",1,"nationality",0
"217","7","tomate","food","predicate1","verde",0.99,"color",0.01
"218","7","zanahoria","food","predicate1","azul",0.82,"color",0.18
"219","7","zanahoria","food","predicate1","amarillo",0.73,"color",0.27
"220","7","sof&aacute; ","furniture","predicate1","cuadrado",0.05,"shape",0.95
"221","7","televisi&oacute;n ","furniture","predicate1","azul",0.68,"color",0.32
"222","7","escritorio","furniture","predicate1","nuevo",0.84,"age",0.16
"223","7","manzana","food","predicate1","enorme",0.84,"size",0.16
"224","7","tomate","food","predicate1","espa&ntilde;ol",0.81,"nationality",0.19
"225","7","zanahoria","food","predicate1","americano",0.85,"nationality",0.15
"226","7","pl&aacute;tano","food","predicate1","marr&oacute;n",0.13,"color",0.87
"227","7","silla","furniture","predicate1","mexicano",0.78,"nationality",0.22
"228","7","zanahoria","food","predicate1","peque&ntilde;o",0.75,"size",0.25
"229","7","sof&aacute; ","furniture","predicate1","grande",0.83,"size",0.17
"230","7","escritorio","furniture","predicate1","fresco",0.14,"age",0.86
"231","7","pl&aacute;tano","food","predicate1","amarillo",0.76,"color",0.24
"232","7","televisi&oacute;n ","furniture","predicate1","amarillo",0.2,"color",0.8
"233","7","silla","furniture","predicate1","duro",0.77,"texture",0.23
"234","7","pl&aacute;tano","food","predicate1","cuadrado",0.19,"shape",0.81
"235","8","silla","furniture","predicate1","morado",0,"color",1
"236","8","manzana","food","predicate1","espa&ntilde;ol",1,"nationality",0
"237","8","televisi&oacute;n ","furniture","predicate1","redondo",1,"shape",0
"238","8","sof&aacute; ","furniture","predicate1","suave",1,"texture",0
"239","8","zanahoria","food","predicate1","fresco",1,"age",0
"240","8","pl&aacute;tano","food","predicate1","podrido",1,"age",0
"241","8","queso","food","predicate1","suave",0,"texture",1
"242","8","manzana","food","predicate1","bueno",1,"quality",0
"243","8","televisi&oacute;n ","furniture","predicate1","podrido",0,"age",1
"244","8","zanahoria","food","predicate1","mexicano",1,"nationality",0
"245","8","manzana","food","predicate1","peque&ntilde;o",0,"size",1
"246","8","manzana","food","predicate1","azul",1,"color",0
"247","8","ventilador","furniture","predicate1","peque&ntilde;o",0.99,"size",0.01
"248","8","tomate","food","predicate1","podrido",0,"age",1
"249","8","sof&aacute; ","furniture","predicate1","nuevo",1,"age",0
"250","8","tomate","food","predicate1","peque&ntilde;o",0.03,"size",0.97
"251","8","silla","furniture","predicate1","liso",1,"texture",0
"252","8","silla","furniture","predicate1","bueno",0,"quality",1
"253","8","zanahoria","food","predicate1","corto",0,"size",1
"254","8","escritorio","furniture","predicate1","fresco",0,"age",1
"255","8","manzana","food","predicate1","azul",0.99,"color",0.01
"256","8","pl&aacute;tano","food","predicate1","malo",1,"quality",0
"257","8","manzana","food","predicate1","marr&oacute;n",0,"color",1
"258","8","pl&aacute;tano","food","predicate1","grande",1,"size",0
"259","8","tomate","food","predicate1","cuadrado",0,"shape",1
"260","8","silla","furniture","predicate1","suave",0,"texture",1
"261","10","queso","food","predicate1","morado",0.22,"color",0.78
"262","10","tomate","food","predicate1","nuevo",0.89,"age",0.11
"263","10","sof&aacute; ","furniture","predicate1","marr&oacute;n",0.29,"color",0.71
"264","10","silla","furniture","predicate1","espa&ntilde;ol",0.3,"nationality",0.7
"265","10","escritorio","furniture","predicate1","mexicano",0.22,"nationality",0.78
"266","10","ventilador","furniture","predicate1","amarillo",0.24,"color",0.76
"267","10","escritorio","furniture","predicate1","bueno",0.19,"quality",0.81
"268","10","tomate","food","predicate1","malo",0.85,"quality",0.15
"269","10","escritorio","furniture","predicate1","viejo",0.83,"age",0.17
"270","10","manzana","food","predicate1","suave",0.17,"texture",0.83
"271","10","televisi&oacute;n ","furniture","predicate1","viejo",0.88,"age",0.12
"272","10","ventilador","furniture","predicate1","rojo",0.78,"color",0.22
"273","10","escritorio","furniture","predicate1","podrido",0.75,"age",0.25
"274","10","escritorio","furniture","predicate1","enorme",0.78,"size",0.22
"275","10","televisi&oacute;n ","furniture","predicate1","morado",0.25,"color",0.75
"276","10","sof&aacute; ","furniture","predicate1","verde",0.85,"color",0.15
"277","10","televisi&oacute;n ","furniture","predicate1","peque&ntilde;o",0.83,"size",0.17
"278","10","queso","food","predicate1","malo",0.14,"quality",0.86
"279","10","escritorio","furniture","predicate1","amarillo",0.78,"color",0.22
"280","10","ventilador","furniture","predicate1","peque&ntilde;o",0.81,"size",0.19
"281","10","pl&aacute;tano","food","predicate1","largo",0.78,"size",0.22
"282","10","escritorio","furniture","predicate1","verde",0.78,"color",0.22
"283","10","televisi&oacute;n ","furniture","predicate1","espa&ntilde;ol",0.24,"nationality",0.76
"284","10","sof&aacute; ","furniture","predicate1","verde",0.84,"color",0.16
"285","10","televisi&oacute;n ","furniture","predicate1","fresco",0.2,"age",0.8
"286","10","silla","furniture","predicate1","bueno",0.83,"quality",0.17
"287","11","televisi&oacute;n ","furniture","predicate1","podrido",0.15,"age",0.85
"288","11","tomate","food","predicate1","azul",0.08,"color",0.92
"289","11","ventilador","furniture","predicate1","liso",0.9,"texture",0.1
"290","11","silla","furniture","predicate1","podrido",0.92,"age",0.08
"291","11","queso","food","predicate1","rojo",0.91,"color",0.09
"292","11","queso","food","predicate1","fresco",0.04,"age",0.96
"293","11","silla","furniture","predicate1","morado",0.76,"color",0.24
"294","11","manzana","food","predicate1","min&uacute;sculo",0.09,"size",0.91
"295","11","televisi&oacute;n ","furniture","predicate1","malo",0.08,"quality",0.92
"296","11","ventilador","furniture","predicate1","podrido",0.05,"age",0.95
"297","11","queso","food","predicate1","grande",0,"size",1
"298","11","tomate","food","predicate1","grande",0.07,"size",0.93
"299","11","pl&aacute;tano","food","predicate1","enorme",0.94,"size",0.0600000000000001
"300","11","televisi&oacute;n ","furniture","predicate1","viejo",0.91,"age",0.09
"301","11","televisi&oacute;n ","furniture","predicate1","espa&ntilde;ol",0.03,"nationality",0.97
"302","11","zanahoria","food","predicate1","rojo",0.94,"color",0.0600000000000001
"303","11","silla","furniture","predicate1","malo",0.04,"quality",0.96
"304","11","queso","food","predicate1","cuadrado",0.03,"shape",0.97
"305","11","manzana","food","predicate1","duro",0.9,"texture",0.1
"306","11","sof&aacute; ","furniture","predicate1","fresco",0.09,"age",0.91
"307","11","sof&aacute; ","furniture","predicate1","grande",0.97,"size",0.03
"308","11","silla","furniture","predicate1","malo",0.01,"quality",0.99
"309","11","tomate","food","predicate1","fresco",0,"age",1
"310","11","silla","furniture","predicate1","largo",0.91,"size",0.09
"311","11","queso","food","predicate1","peque&ntilde;o",0.1,"size",0.9
"312","11","ventilador","furniture","predicate1","espa&ntilde;ol",0.91,"nationality",0.09
"313","14","queso","food","predicate1","redondo",1,"shape",0
"314","14","silla","furniture","predicate1","suave",0.94,"texture",0.0600000000000001
"315","14","zanahoria","food","predicate1","grande",0.96,"size",0.04
"316","14","silla","furniture","predicate1","grande",0,"size",1
"317","14","silla","furniture","predicate1","min&uacute;sculo",1,"size",0
"318","14","pl&aacute;tano","food","predicate1","morado",0,"color",1
"319","14","manzana","food","predicate1","liso",0,"texture",1
"320","14","queso","food","predicate1","liso",0,"texture",1
"321","14","escritorio","furniture","predicate1","redondo",1,"shape",0
"322","14","televisi&oacute;n ","furniture","predicate1","espa&ntilde;ol",0,"nationality",1
"323","14","ventilador","furniture","predicate1","enorme",1,"size",0
"324","14","escritorio","furniture","predicate1","viejo",1,"age",0
"325","14","ventilador","furniture","predicate1","marr&oacute;n",0,"color",1
"326","14","escritorio","furniture","predicate1","malo",0,"quality",1
"327","14","pl&aacute;tano","food","predicate1","americano",1,"nationality",0
"328","14","tomate","food","predicate1","podrido",0,"age",1
"329","14","televisi&oacute;n ","furniture","predicate1","viejo",1,"age",0
"330","14","pl&aacute;tano","food","predicate1","bueno",1,"quality",0
"331","14","queso","food","predicate1","liso",1,"texture",0
"332","14","pl&aacute;tano","food","predicate1","marr&oacute;n",0,"color",1
"333","14","tomate","food","predicate1","viejo",1,"age",0
"334","14","sof&aacute; ","furniture","predicate1","grande",1,"size",0
"335","14","silla","furniture","predicate1","verde",0,"color",1
"336","14","escritorio","furniture","predicate1","nuevo",0,"age",1
"337","14","sof&aacute; ","furniture","predicate1","malo",1,"quality",0
"338","14","ventilador","furniture","predicate1","suave",0,"texture",1
"339","21","ventilador","furniture","predicate1","verde",0.92,"color",0.08
"340","21","tomate","food","predicate1","marr&oacute;n",0.92,"color",0.08
"341","21","televisi&oacute;n ","furniture","predicate1","mexicano",0.97,"nationality",0.03
"342","21","tomate","food","predicate1","marr&oacute;n",0.14,"color",0.86
"343","21","escritorio","furniture","predicate1","redondo",0.99,"shape",0.01
"344","21","ventilador","furniture","predicate1","suave",0.03,"texture",0.97
"345","21","televisi&oacute;n ","furniture","predicate1","bueno",0.97,"quality",0.03
"346","21","zanahoria","food","predicate1","mexicano",0.97,"nationality",0.03
"347","21","silla","furniture","predicate1","marr&oacute;n",0.88,"color",0.12
"348","21","queso","food","predicate1","corto",0.95,"size",0.05
"349","21","ventilador","furniture","predicate1","malo",0.02,"quality",0.98
"350","21","pl&aacute;tano","food","predicate1","malo",0.04,"quality",0.96
"351","21","sof&aacute; ","furniture","predicate1","peque&ntilde;o",0.02,"size",0.98
"352","21","ventilador","furniture","predicate1","amarillo",0.01,"color",0.99
"353","21","silla","furniture","predicate1","podrido",0.04,"age",0.96
"354","21","escritorio","furniture","predicate1","mexicano",0.03,"nationality",0.97
"355","21","sof&aacute; ","furniture","predicate1","fresco",0.05,"age",0.95
"356","21","sof&aacute; ","furniture","predicate1","podrido",0.05,"age",0.95
"357","21","televisi&oacute;n ","furniture","predicate1","viejo",0.07,"age",0.93
"358","21","pl&aacute;tano","food","predicate1","amarillo",0.98,"color",0.02
"359","21","tomate","food","predicate1","americano",0.97,"nationality",0.03
"360","21","tomate","food","predicate1","viejo",0.95,"age",0.05
"361","21","tomate","food","predicate1","americano",0.03,"nationality",0.97
"362","21","sof&aacute; ","furniture","predicate1","bueno",0.05,"quality",0.95
"363","21","silla","furniture","predicate1","espa&ntilde;ol",0.04,"nationality",0.96
"364","21","silla","furniture","predicate1","corto",0.02,"size",0.98
"365","26","ventilador","furniture","predicate1","mexicano",0.97,"nationality",0.03
"366","26","escritorio","furniture","predicate1","duro",0.98,"texture",0.02
"367","26","queso","food","predicate1","nuevo",0.03,"age",0.97
"368","26","pl&aacute;tano","food","predicate1","podrido",0.03,"age",0.97
"369","26","queso","food","predicate1","enorme",0.97,"size",0.03
"370","26","tomate","food","predicate1","suave",0.03,"texture",0.97
"371","26","televisi&oacute;n ","furniture","predicate1","rojo",0.96,"color",0.04
"372","26","pl&aacute;tano","food","predicate1","bueno",0.99,"quality",0.01
"373","26","sof&aacute; ","furniture","predicate1","min&uacute;sculo",0.98,"size",0.02
"374","26","silla","furniture","predicate1","marr&oacute;n",0.02,"color",0.98
"375","26","ventilador","furniture","predicate1","suave",0.98,"texture",0.02
"376","26","manzana","food","predicate1","espa&ntilde;ol",0.96,"nationality",0.04
"377","26","ventilador","furniture","predicate1","mexicano",0,"nationality",1
"378","26","sof&aacute; ","furniture","predicate1","marr&oacute;n",0.01,"color",0.99
"379","26","zanahoria","food","predicate1","suave",0.53,"texture",0.47
"380","26","tomate","food","predicate1","americano",1,"nationality",0
"381","26","queso","food","predicate1","rojo",0.49,"color",0.51
"382","26","ventilador","furniture","predicate1","redondo",0.99,"shape",0.01
"383","26","queso","food","predicate1","fresco",0.95,"age",0.05
